192.241.215.151 - - [17/Oct/2022:00:10:20 +0300] "-" 400 1985
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 1804
105.71.146.179 - - [17/Oct/2022:14:55:29 +0300] "OPTIONS /server/api/statistics/viewevents HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:29 +0300] "POST /server/api/statistics/viewevents HTTP/1.1" 403 182
105.71.146.179 - - [17/Oct/2022:14:55:37 +0300] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:37 +0300] "POST /server/api/authn/login HTTP/1.1" 401 160
105.71.146.179 - - [17/Oct/2022:14:55:42 +0300] "POST /server/api/authn/login HTTP/1.1" 401 160
105.71.146.179 - - [17/Oct/2022:14:56:01 +0300] "POST /server/api/authn/login HTTP/1.1" 401 160
105.71.146.179 - - [17/Oct/2022:14:56:27 +0300] "POST /server/api/authn/login HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:56:29 +0300] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api/authn/status HTTP/1.1" 200 488
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api/authn/status HTTP/1.1" 200 488
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api/eperson/epersons/b1c58375-c80d-475c-b795-0f80fb69d023 HTTP/1.1" 200 1423
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:56:29 +0300] "GET /server/api HTTP/1.1" 200 6798
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/system/scripts/metadata-import HTTP/1.1" 200 1547
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/system/scripts/metadata-export HTTP/1.1" 200 810
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/core/sites HTTP/1.1" 200 682
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/discover/browses?size=9999 HTTP/1.1" 200 3615
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/discover HTTP/1.1" 200 347
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/core/communities/search/top?page=0&size=5&sort=dc.title,ASC HTTP/1.1" 200 6180
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 1921
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 1930
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 2021
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 1936
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canViewUsageStatistics&embed=feature HTTP/1.1" 200 1989
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/discover/search HTTP/1.1" 200 26122
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/config/properties/websvc.opensearch.enable HTTP/1.1" 200 239
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/config/properties/websvc.opensearch.svccontext HTTP/1.1" 200 260
52.209.192.143 - - [17/Oct/2022:14:56:30 +0300] "GET /server/api/discover/search/objects?sort=dc.date.accessioned,DESC&page=0&size=5&embed=thumbnail HTTP/1.1" 200 116894
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/bitstreams/4472e4fc-ba66-46ee-a94f-0dfe8b427f66/content HTTP/1.1" 304 -
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/bitstreams/f3403952-f940-4b36-b5b3-cfb1fd0aa63d/content HTTP/1.1" 304 -
105.71.146.179 - - [17/Oct/2022:14:56:33 +0300] "GET /server/api/core/bitstreams/0a8eb756-acca-41e9-a708-143e0ccbb53e/content HTTP/1.1" 304 -
